Accident_Index,Long,Lat,Accident_Severity,Severity_ctx,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Day_ctx,Time,Speed_limit,Light_Conditions,Light_ctx,Weather_Conditions,Road_Surface_Conditions
201501BS70047,-0.159271,51.501962,1,Slight,2,1,04/02/2015,4,Wednesday,11:30:00,30,1,Daylight,1,1
201501CW10504,-0.159619,51.536229,1,Slight,2,1,22/04/2015,4,Wednesday,17:50:00,30,1,Daylight,1,1
201501CW11201,-0.16082,51.513587,1,Slight,1,1,12/08/2015,4,Wednesday,14:36:00,30,1,Daylight,1,1
201501CW11717,-0.161864,51.516301,1,Slight,1,1,18/11/2015,4,Wednesday,11:50:00,30,1,Daylight,1,1
201501CW11476,-0.161864,51.516301,1,Slight,2,1,30/09/2015,4,Wednesday,18:00:00,30,1,Daylight,1,1
201501CW10918,-0.161878,51.501643,1,Slight,2,1,24/06/2015,4,Wednesday,18:50:00,30,1,Daylight,1,1
201501BS70275,-0.162041,51.490405,1,Slight,2,1,20/05/2015,4,Wednesday,08:08:00,30,1,Daylight,1,1
201501CW11873,-0.162127,51.516935,1,Slight,2,1,09/12/2015,4,Wednesday,09:26:00,30,1,Daylight,1,1
201501CW11097,-0.162634,51.522248,1,Slight,1,1,15/07/2015,4,Wednesday,17:12:00,30,1,Daylight,1,1
201501CW10785,-0.16325,51.521269,1,Slight,2,1,10/06/2015,4,Wednesday,15:45:00,30,1,Daylight,1,1
201501CW10179,-0.164004,51.534769,1,Slight,2,1,18/02/2015,4,Wednesday,09:30:00,30,1,Daylight,1,1
201501CW10628,-0.16405,51.515706,1,Slight,1,1,13/05/2015,4,Wednesday,19:41:00,30,1,Daylight,1,1
201501CW11084,-0.165576,51.520765,1,Slight,2,1,22/07/2015,4,Wednesday,13:51:00,30,1,Daylight,1,1
201501CW10698,-0.165731,51.516901,1,Slight,2,1,27/05/2015,4,Wednesday,10:40:00,30,1,Daylight,1,1
201501CW10278,-0.165804,51.515104,1,Slight,2,1,28/01/2015,4,Wednesday,07:45:00,30,1,Daylight,1,1
201501CW10272,-0.16587,51.499098,1,Slight,1,1,11/03/2015,4,Wednesday,16:58:00,30,1,Daylight,1,1
201501BS70050,-0.165997,51.492356,1,Slight,2,1,04/02/2015,4,Wednesday,14:05:00,30,1,Daylight,1,1
201501CW11073,-0.166253,51.521855,1,Slight,2,1,22/07/2015,4,Wednesday,17:45:00,30,1,Daylight,1,1
201501BS70148,-0.166296,51.488494,1,Slight,2,1,25/03/2015,4,Wednesday,13:50:00,30,1,Daylight,1,1
201501BS70288,-0.166338,51.498206,1,Slight,2,1,13/05/2015,4,Wednesday,14:00:00,30,1,Daylight,1,1
201501CW10779,-0.166484,51.512507,1,Slight,2,1,10/06/2015,4,Wednesday,09:30:00,30,1,Daylight,1,1
201501CW10825,-0.166812,51.518716,1,Slight,1,1,17/06/2015,4,Wednesday,15:50:00,30,1,Daylight,1,1
201501CW10282,-0.167339,51.498402,1,Slight,1,1,04/03/2015,4,Wednesday,17:20:00,30,1,Daylight,1,1
201501CW10737,-0.167383,51.529606,1,Slight,2,1,03/06/2015,4,Wednesday,11:37:00,30,1,Daylight,1,1
201501CW10580,-0.167784,51.512437,1,Slight,2,1,06/05/2015,4,Wednesday,07:30:00,30,1,Daylight,1,2
201501EK40240,-0.168345,51.537984,1,Slight,2,1,25/03/2015,4,Wednesday,13:00:00,30,1,Daylight,1,1
201501CW10784,-0.168681,51.518836,1,Slight,2,1,10/06/2015,4,Wednesday,21:00:00,30,1,Daylight,1,1
201501EK41169,-0.170304,51.539454,1,Slight,2,1,30/12/2015,4,Wednesday,15:10:00,30,1,Daylight,1,1
201501CW10823,-0.170359,51.502136,1,Slight,2,1,17/06/2015,4,Wednesday,12:25:00,30,1,Daylight,1,1
201501CW11684,-0.170589,51.507175,1,Slight,2,1,16/09/2015,4,Wednesday,16:45:00,30,1,Daylight,2,2
201501CW10599,-0.170928,51.520309,1,Slight,1,1,06/05/2015,4,Wednesday,14:03:00,30,1,Daylight,1,1
201501BS70652,-0.171283,51.482636,1,Slight,2,1,04/11/2015,4,Wednesday,16:20:00,30,1,Daylight,1,1
201501WW50356,-0.17223,51.480583,1,Slight,2,1,29/04/2015,4,Wednesday,06:09:00,30,1,Daylight,1,1
201501CW12027,-0.172415,51.51197,1,Slight,2,1,16/12/2015,4,Wednesday,13:22:00,30,1,Daylight,1,1
201501BS70292,-0.17259,51.485984,1,Slight,1,1,27/05/2015,4,Wednesday,14:10:00,30,1,Daylight,1,1
201501CW10305,-0.173006,51.533201,1,Slight,1,1,18/03/2015,4,Wednesday,09:12:00,30,1,Daylight,1,1
201501CW10241,-0.173006,51.533201,1,Slight,2,1,25/02/2015,4,Wednesday,07:55:00,30,1,Daylight,2,2
201501BS70326,-0.173172,51.482216,1,Slight,2,1,10/06/2015,4,Wednesday,18:57:00,30,1,Daylight,1,1
201501BS70497,-0.173256,51.49094,1,Slight,1,1,26/08/2015,4,Wednesday,08:30:00,30,1,Daylight,2,2
201501BS70223,-0.173594,51.493284,1,Slight,1,1,29/04/2015,4,Wednesday,12:10:00,30,1,Daylight,5,2
201501CW11289,-0.173816,51.527369,1,Slight,2,1,26/08/2015,4,Wednesday,11:01:00,30,1,Daylight,1,1
201501BS70387,-0.174054,51.485377,1,Slight,2,1,01/07/2015,4,Wednesday,17:30:00,30,1,Daylight,1,1
201501BS70293,-0.174121,51.501745,1,Slight,2,1,20/05/2015,4,Wednesday,16:25:00,30,1,Daylight,1,1
201501CW10505,-0.174238,51.527645,1,Slight,2,1,22/04/2015,4,Wednesday,15:40:00,30,1,Daylight,1,1
201501CW10205,-0.174378,51.527737,1,Slight,2,1,25/02/2015,4,Wednesday,12:37:00,30,1,Daylight,1,1
201501CW11200,-0.174404,51.534302,1,Slight,2,1,12/08/2015,4,Wednesday,07:40:00,30,1,Daylight,1,1
201501CW11273,-0.174412,51.498062,1,Slight,1,1,26/08/2015,4,Wednesday,10:12:00,30,1,Daylight,1,1
201501BS70582,-0.174851,51.494292,1,Slight,1,1,07/10/2015,4,Wednesday,15:30:00,30,1,Daylight,1,1
201501BS70539,-0.175821,51.484416,1,Slight,2,1,23/09/2015,4,Wednesday,11:00:00,30,1,Daylight,1,1
201501BS70307,-0.175965,51.484418,1,Slight,2,1,03/06/2015,4,Wednesday,18:30:00,30,1,Daylight,1,1
201501CW10735,-0.176723,51.501515,1,Slight,2,1,03/06/2015,4,Wednesday,11:50:00,30,1,Daylight,1,1
201501BS70093,-0.178436,51.48023,1,Slight,1,1,25/02/2015,4,Wednesday,07:30:00,30,1,Daylight,2,2
201501CW11623,-0.178488,51.525912,1,Slight,2,1,28/10/2015,4,Wednesday,11:50:00,30,1,Daylight,1,1
201501CW11718,-0.178667,51.499747,1,Slight,2,1,18/11/2015,4,Wednesday,10:55:00,30,1,Daylight,1,1
201501BS70255,-0.179134,51.495258,1,Slight,2,1,13/05/2015,4,Wednesday,19:00:00,30,1,Daylight,1,1
201501CW11287,-0.181022,51.502122,1,Slight,1,1,12/08/2015,4,Wednesday,17:00:00,20,1,Daylight,1,1
201501BS70778,-0.181693,51.481629,1,Slight,2,1,23/12/2015,4,Wednesday,11:30:00,30,1,Daylight,1,1
201501BS70554,-0.182048,51.490807,1,Slight,2,1,23/09/2015,4,Wednesday,08:40:00,30,1,Daylight,1,1
201501BS70647,-0.182621,51.494503,1,Slight,1,1,28/10/2015,4,Wednesday,16:55:00,30,1,Daylight,1,1
201501BS70048,-0.18286,51.484885,1,Slight,2,1,04/02/2015,4,Wednesday,12:30:00,30,1,Daylight,1,1
201501CW11659,-0.183181,51.527514,1,Slight,1,1,04/11/2015,4,Wednesday,08:45:00,30,1,Daylight,1,1
201501BS70557,-0.183978,51.492995,1,Slight,2,1,30/09/2015,4,Wednesday,17:25:00,30,1,Daylight,1,1
201501BS70792,-0.184116,51.485893,1,Slight,1,1,30/12/2015,4,Wednesday,10:35:00,30,1,Daylight,1,1
201501CW11725,-0.184139,51.51431,1,Slight,1,1,18/11/2015,4,Wednesday,11:15:00,30,1,Daylight,1,1
